key,title,description,place,place2,place3
125,Transnational Arms Flows in the Syrian Civil War,"This paper looks at small arms transfers to non-state actors in the Syrian conflict as an under analyzed aspect of intervention in intrastate war that is both globalized and potentially destabilizing. I challenge the dominant narrative that the international community has failed to intervene in Syria, by pointing to the manifold government-funded arms transfers to opposition groups beginning in 2012. I find that there are two significant networks of arms trafficking: one through Jordan with Saudi Arabian and American support; the other through Turkey with Qatari support. These patterns and rivalries between donor countries have contributed to three processes within the transformation from revolution to civil war: militarization, increased sectarianism, and fragmentation of the opposition. I review two mechanisms of international arms control: multilateral embargoes and the recent Arms Trade Treaty. Their weaknesses, as evident in the case of Syria, are related to the problems of self-monitoring and enforcement by states that have contradictory incentives. Next, I address the related issue of surplus arms by looking at how the failure of disarmament measures in Iraq and Libya had a direct impact on arms proliferation in Syria. I conclude with a discussion of the legality of arms transfers to non-state actors and the need to focus on political rather than military solutions to globalized conflict.",,,
126,An Ergodic Algorithm for Generating Random Knots with a Thickness Constraint,"The data from this algorithm will show that the radius of gyration increases strongly with thickness, in that the growth exponent for radius of gyration increases with thickness. It also shows how knotting is decreased by the addition of a thickness constraint. The first algorithm for sampling the space of thick equilateral knots, as a function of thickness, will be described. This algorithm is based on previous algorithms of applying random reflections. To prove the usefulness of the algorithm, we create a method for turning any knot into the regular planar polygon using only thickness non-decreasing moves. This ensures that the algorithm has a positive probability of connecting any two knots with the required thickness constraint and so is ergodic. This ergodic sampling allows us to analyze the effects of thickness on properties of the geometric knot such as radius of gyration and knotting.",,,
127,Clinical Correlates of Social Affect in Early Infancy: Implications for Early Identification of Autism Spectrum Disorder,"Earlier intervention for infants and toddlers with autism spectrum disorder (ASD) enhances developmental gains (Rogers, et al. 2012) and necessitates ascertainment of early, reliable indicators of ASD. Diminished social attention and positive social affect have been among the leading hypothesized risk factors for ASD in the prelinguistic period, between 6-12 months of age, however research has resulted in mixed findings for the predictive value of social engagement in 6-9-month-old infants for the development of ASD. If abnormalities in infant social affect contribute to the early phenotypic expression of ASD, it is important to determine whether diminished social affect is a unique construct associated exclusively with social impairments or if it is, alternatively, an expression of normal variation in individual development better explained by temperamental style. Further research is needed to understand how diminished positive social affect in early infancy may impact later developmental outcomes. Implications for early identification of ASD and relevant intervention strategies are discussed. The current study sought to enhance the understanding of social development in early infancy by investigating individual differences in social engagement during face-to-face dyadic interactions. Expression of positive social affect during a structured dyadic parent-infant interaction was measured for 33 typically developing 6-8-month old infants. This measure was then correlated with concurrent clinical measures of social-communication, vocal production, autism symptomology, and temperament. Results revealed a positive association between positive social affect and the receptive language component of social-communication. No significant relations were observed between positive social affect, vocal production, autism symptomology, or temperament. These results suggest that infant positive social during interaction with a caregiver is a reflection of some elements of social-communicative ability for 6-8 month old infants, but not temperamental style.",,,
128,Exploring pathways to posttraumatic growth,"This study explored the following question: How do experiences of positive affect and social support influence an individual's posttraumatic growth? The following variables were measured: positive affect (pre- and post-PTE), perceived social support (pre- and post-PTE), rumination, and posttraumatic growth. Utilizing a descriptive field design, all participants were contacted through email to complete an online web-based survey. One hundred and twenty-seven individuals participated in this study. Seventy-four percent were female, the average age was 20.27 years (SD = 2.53), and participants were predominantly Caucasian (32.3%), Latino/a/Chicano/a (21.3%), and Asian (20.5%). Regression analyses revealed that perceived social support after a potentially traumatic event was significantly predictive of an individual's posttraumatic growth. Results of path analyses before and after a potentially traumatic event (PTE) show significant indirect and direct effects for the variables of positive affect and perceived social support. These results suggest the usefulness of focusing on increasing positive affect and perceived social support when designing interventions for survivors of potentially traumatic events. A model of influence was tested that examined the direct and indirect role of rumination in the hypothesized influence of positive affect upon posttraumatic growth, revealing that rumination, as well as the subscales of brooding and depression, significantly increased posttraumatic growth. These results suggest a need for future research to examine the varied role rumination has in relation to posttraumatic growth.",,,
129,"Pathways between Trauma, Schizoid Personality Traits, and Substance Problems Among Males on Probation","I found that childhood trauma was significantly and positively related to schizoid personality traits, and that it had an indirect, positive effect on substance problems. Specifically, schizoid personality mediated the relationship between trauma and substance problems. Trauma appeared to increase substance problems through the pathway it shared with schizoid personality traits, yet not through the pathway of social support. Results show that schizoid personality had a positive, significant association with substance problems, while social support was not significantly related to the outcome. There was no evidence that social support mediated the relation of schizoid personality and substance problems. Hence, a lack of social support did not explain why individuals higher on schizoid traits used alcohol or drugs in problematic ways. The study calls for intervention models that incorporate personality assessments for enhancing services to fit with interpersonal styles of clients. Screening for substance use behaviors is not sufficient when treating youths who committed crimes; assessing trauma history and personality style are important elements for treatment planning. Social support as a strength may not buffer the effects of trauma and schizoid personality traits, so that alternative or additional strengths should be assessed and incorporated into the treatment of adolescents who struggle with antisocial behaviors such as criminal activity and substance use. Mood and substance use disorders are prevalent among incarcerated youths. Much research has focused on externalizing symptoms of juvenile males with a criminal record, and little is known about introverted personality types. Schizoid personality traits lie on the introversion personality dimension and have specific characteristics that represent potentially maladaptive intra- and interpersonal styles. A latent variable approach explored pathways between childhood trauma, schizoid personality traits, and substance problems among 1,029 juvenile males who committed an offense. Trauma, schizoid personality traits, and social support were specified as predictors, and substance problems represented the outcome of a structural equation model. The model tested whether or not social support was a mediator for the association between schizoid personality and substance problems. Moreover, I was interested in the association between trauma, schizoid personality, and substance problems.",,,
130,Image Reconstruction for Multistatic Stepped Frequency-Modulated Continuous Wave (FMCW) Ultrasound Imaging Systems With Reconfigurable Arrays,"This research work investigates a multistatic, stepped-FMCW modality as an alternative to array phasing in order to accommodate the flexible and reconfigurable nature of an array. A space-time reconstruction algorithm was developed for the imaging system. We include ultrasound imaging experiments and describe a simulation method for quickly predicting imaging performance for any given target and array configuration. Lastly, we demonstrate two reconstruction techniques for improving image resolution. The first takes advantage of the statistical significance of pixel contributions prior to the final summation, and the second corrects data errors originating from the stepped-FMCW quadrature receiver. The standard architecture of a medical ultrasound transducer is a linear phased array of piezoelectric elements in a compact, hand-held form. Acoustic energy not directly reflected back towards the transducer elements during a transmit-receive cycle amounts to lost information for image reconstruction. To mitigate this loss, a large, flexible transducer array which conforms to contours of the subject's body would result in a greater effective aperture and an increase in received image data. However, in this reconfigurable array design, element distributions are irregular and an organized arrangement can no longer be assumed. Phased array architecture also has limited scalability potential for large 2D arrays.",,,
131,Threats to romantic relationships : How they are perceived and how they are guarded against in an uncommon mate market,"To avoid the costs of a mate's infidelity, ""fidelity"" is predicted to rank highly among a suite of reproductive success-enhancing traits. Specifically, I predicted that men would highly value ""sexual fidelity"" and women would highly value ""emotional fidelity"". I evaluated community and university members' responses to a zero-sum allocation task using various quantitative statistics. My predictions were largely supported: Both community and university men highly valued sexual fidelity in a mate. Additional analysis revealed university men were an adequate proxy for community men vis-a-vis mate preferences. Data from community women supported the prediction by highly valuing emotional fidelity in a mate. Conversely, university women most valued sexual fidelity; they least-valued cues of resource acquisition, counter to standard sexual selection logic and multiple previous studies of university women. This suggested the presence of an uncommon mate market affecting university women's preferences. Because jealousy is an adaptive response to a (suspected) loss to a romantic rival, a facultative response should account for the traits of rivals in the local mating environment. Using the same unobtrusive, mixed-methods design as the study described above, I evaluated the prediction that jealousy responds facultatively. Specifically, men with many attractive---and, therefore, threatening---rivals are more attentive to their partners' deceptive actions and to their partner's intentions to stay or leave the mateship. Women with many sexually-accessible---and, therefore, threatening---rivals are more attentive to their partners' deceptive actions. The study of jealousy from an adaptationist perspective is dominated by the hypothesis that 1) relationship threats are either sexual or emotional in nature, and 2) there are sex differences in response to these threats. While there is considerable support for sex differences in response to researcher-created stimuli, the notion that people spontaneously conceive of threats as either sexual or emotional threats is untested. Using an unobtrusive, mixed-methods design, I mapped the cognitive space of jealousy. Contrary to conventional supposition, the sexual-emotional distinction is not a primary means of threat organization; instead, threats are organized by 1) their severity, 2) the presence of a specific rival versus a partner's disinterest, and 3) a partner's deceptive actions versus their honesty. A sexual-emotional distinction, if present, is not among the principle means of threat organization. In addition to the analysis of an aggregate population, I also provide analysis of several comparison subpopulations. To describe how an uncommon mate market affected university women's preferences, I conducted long-form, semi-structured interviews, analyzed with framework analysis. The prime mover of university women's mate preferences appears to be the demography and geography of Isla Vista, affecting women's intrasexual competitive tactics and men's responses to them. In this mate market, women find themselves in the uncommon position of being able to use a man's sexual fidelity---typically a noisy signal---as an honest signal of his devotion to the mateship.",,,
132,Ecological impacts of mountain yellow-legged frog (Rana muscosa and Rana sierrae) declines on Sierra Nevada lake communities,"Mountain yellow-legged frogs (Rana muscosa and Rana sierrae) of California's Sierra Nevada have been extirpated from over 90% of their historic range, initially by introduced trout predators, and more recently by the emergence of the lethal amphibian chytrid fungus (Batrachochytrium dendrobatidis). Formerly widespread and abundant, mountain yellow-legged frogs are grazers and highly connected high level predators, living in low diversity, low productivity high elevation lakes. Here, I examine the extent to which frog extinctions impact Sierra Nevada lake communities. First, in a study that combined surveys of benthic macroinvertebrates in 22 lakes over 5 years with a reanalysis of benthic macroinvertebrate community data from over 150 lakes, I found no strong differences in benthic macroinvertebrate community diversity or composition between lakes with frogs vs. lakes without frogs. I also conducted experiments to evaluate the impact of tadpoles as grazers on benthic algae, and found that tadpoles do reduce algal biomass in artificial habitats, but that the effect can be small and may not outweigh the influence that abiotic variability has on algal biomass in lakes. Lastly, while I documented that large and periodic tadpole aggregations create biogeochemical hotspots of dissolved nitrogen, the phenomena may not be widespread enough to drive differences in diatom diversity in lakes with vs. without tadpoles. Within lakes, I found little indication that diatom community diversity and composition were responding to tadpole generated nitrogen hotspots as a fluctuation-dependent mechanism with potential to enhance diatom coexistence. While none of the ecological effects of mountain yellow-legged frogs and tadpoles that I observed suggests that their extinctions are having large impacts on Sierra Nevada lake communities, they should not be discounted as expendable, because there are many other ways in which these amphibians could be important in their communities.",,,
134,Computational Mechanistic Study of the Reactivity of Metal Oxide Catalyst towards Olefins,"The mechanism of ethylene polymerization by the Phillips catalyst remains unknown despite numerous hypotheses and studies since its discovery sixty years ago. This work uses density functional and small chromasiloxane cluster models to compare initiation, propagation, and termination pathways for several previously proposed mechanisms and for two newly proposed mechanisms. Where possible, complete catalytic cycles and predicted kinetics, molecular weights, and site abundances are compared to properties of the Phillips catalyst. Prohibitively high activation barriers for propagation rule out chromacycle ring expansion and Green-Rooney mechanisms (alternating alkylidene/chromacycle). A new oxachromacycle ring expansion mechanism has a favorable plausible propagation barrier, but initiation for the oxachromacycle expansion is prohibitively slow. Chain growth is fast on a recently proposed bridging hydroxyl Si(OH)CrIII-alkyl site that is initiated by proton transfer from ethylene. However, the initiation step is extremely slow and uphill, and termination is even faster than propagation, so essentially all sites remain trapped in a dormant state. A new Si(OH)Cr II-alkyl site also has a small barrier for Cossee-Arlman type chain growth, but it forms only oligomers because termination by proton transfer back to the alkyl chain is faster than propagation, and initiation is slow. Only the monoalkylchromium(III) site (äŠçSiO)2Cr-alkyl is viable as an active site for polymerization, however the nature of the initiation mechanism remains unknown. CH3ReO3 (MTO) interacting with the surface of extensively chlorinated gamma-Al2O3 is a highly active catalyst for olefin metathesis. Its activity, selectivity and stability exceed that of any other reported MTO-based catalyst as measured in propene metathesis at 0ŒÁ, including MTO/SiO2-Al2O3 and MTO/ZnCl2/gamma-Al2O3, and are far higher than MTO/gamma-Al2O3. DFT calculations support facile Cl-O ligand exchange between MTO and Cl-Al2O3. The calculations further suggest that chlorination at Re promotes active site formation via tautomerization. Two heterogeneous catalysts, the Phillips ethylene polymerization catalyst and supported rhenium olefin-metathesis catalyst, are computationally investigated.",,,
135,An Exploration of Teachers' Views of Evaluation in a Choice-Based System,"Professional teaching standards developed in California are designed to provide teachers with guiding principles for improved practice and provisions, as well as drive criteria for teacher evaluations. Along with a standards-based evaluation system, many local California districts are offering teachers on cycle and in good standing a choice-based method of evaluation. It is unclear what teachers' reactions to these systems have been, in particular, whether they feel the choice-based evaluation system allows for more meaningful feedback and insight into their strengths and areas of development as a professional educator. With the permission of the superintendent and a district assistant superintendent, five teachers were interviewed in a medium-sized suburban unified school district in California in order to gain a greater perspective into their opinions of the choice-based system of evaluation. With regards to types of evaluation experienced, two teachers emphasized three evaluation choices (peer, portfolio, and administrator) in their interviews; three others generally emphasized evaluation by an administrator. A district assistant superintendent was also interviewed, providing background about the choice-based teacher evaluation system in the district, as well as insight into the overarching practice and protocol of the choice-based system in this particular district. Findings highlighted similarities and differences across the cases. For example, teachers tended to agree that it was best to maintain a choice-based system versus the traditional administrative model. In addition, teachers understood and had a clear vision of the choice-based teacher evaluation process. At times, among teachers who did not select the peer or portfolio option themselves, they nonetheless stressed the advantages of those options. Teachers had varied ideas of what might be helpful in making teacher evaluations in general more effective. The educational landscape is changing and along with the changes is the reform and accountability system of teacher evaluations. As of late, teachers have come under scrutiny for their practice and professionalism in the classroom and many believe we need to hold teachers to higher standards. To that end, recent reforms have been put in place to allow for greater focus and accountability such as the development of new professional standards for teachers.",,,
136,Utilizing Corpus Resources Accompanied By Other Consultation Resources in Enhancing Collocation Accuracy and Collocation Richness in L2 Writing,"In the COCA-based test, they were required to correct the same eight collocation errors by consulting COCA and other consultation resources. Thirty out of 140 students who volunteered to have their corpus consultation videotaped were interviewed later. A mixed-methods approach that included quantitative statistics and qualitative analysis was used. The results show that in COCA performance and improvement, learners successfully induced patterns from COCA consultation and corrected collocation errors. They improved approximately 30% in both collocation accuracy and collocation richness after having access. Additionally, even though learners of higher English proficiency performed better, learners across different levels of English proficiency received a similar amount of assistance from COCA. It is concluded that, for learners of all levels of English proficiency, corpus use accompanied by other consultation resources greatly assisted learners in finding collocations, even though data-driven learning (DDL) itself still caused difficulties for learners in the process. Nonetheless, the advantages outweigh the difficulties. Because the use of external consultation resources helps learners to check unfamiliar vocabulary items encountered in COCA use, the key point is to encourage learners to embrace DDL, as this is different from their previous learning styles. Teachers should inform learners of the benefits of learning collocation through corpus and should guide learners in how to coordinate effectively the use of corpus and other consultation resources. As for COCA use, different learners coordinated the corpus use and other consultation resources differently, and they gained benefits and encountered some difficulties when consulting COCA and other consultation resources. Nevertheless, the number of times they consulted COCA was similar among learners across different levels of English proficiency, but lower proficiency learners utilized more of the external consultation resources. Lastly, the COCA Reflection section shows that learners generally found COCA to be helpful and easy to use, but higher proficiency learners had higher evaluations of COCA use. Nonetheless, they did not necessarily think that COCA was easier to use, compared to lower proficiency learners. Corpus-based pedagogy, in which learners consult a corpus and generate patterns from the corpus, has been shown to be effective in collocation teaching and learning. The present research investigated how 140 English learners from Taiwan corrected different types of collocation errors by consulting the Corpus of Contemporary American English (COCA) accompanied by other consultation resources. Three aspects, including COCA performance and improvement, COCA use, and reflection toward COCA use, have been explored together to provide comprehensive understanding. Students were required to take two tests: a paper-based test and a COCA-based test. The paper-based test required them to correct eight collocation errors of different types (verb+noun collocations vs. adjective+noun collocations; easy collocations vs. difficult collocations; L1 congruent collocations vs. L1 incongruent collocations) adapted from their essay writing, by providing three answers to replace each collocation error.",,,
137,Digital Storytelling in Spanish : Narrative Techniques and Approaches,"This thesis looks at a sample of twelve stories of electronic literature written in Spanish and focuses on the different narrative techniques that these works implement. The techniques range from simple hyperlinks to highly complex functions as in videogames. These works draw from the traditions of print literature as well as from the digital culture that has shaped this era: hypertext, algorithms, text reordering, text fragmentation, multimedia creations, and almost anything else the computer is capable of. As each work discussed here is unique, a different theoretical approach is used for each.",,,
138,Configurable and Sound Static Analysis of JavaScript : Techniques and Applications,"JavaScript is widespread. Web developers use JavaScript to enrich user experience via dynamic content ranging from scripts to enhance a web page's appearance, to full-blown web applications, to extending the functionality of web browsers in the form of browser addons. Desktop developers use JavaScript, e.g., for OS applications in Windows 8. JavaScript's growing prominence means that secure, correct, and fast JavaScript code is becoming ever more critical. Static analysis traditionally plays a large role in providing these characteristics: it can be used for security auditing, error-checking, debugging, optimization, and program refactoring, among other uses. Thus, a sound, precise static analysis platform for JavaScript can be of enormous advantage. In this thesis, we present our work on creating a sound, precise, configurable and fast static analysis for JavaScript called JSAI that we have made openly available to the research community. JSAI is both a practical tool for JavaScript static analysis and also a research platform for experimenting with static analysis techniques. JSAI showcases a number of novel techniques to soundly compute a combination of type inference, pointer analysis, control-flow analysis, string analysis, and integer and boolean constant propagation for JavaScript programs. It also provides a unique method for modularly configuring analysis precision that is based on fundamental new insights into the theory of static analysis. We describe precision-increasing techniques for the analysis using type refinement; and performance-increasing techniques for the analysis based on parallelization of JSAI. As an example use-case for JSAI, we discuss a novel security analysis for JavaScript-based browser addon vetting.",,,
139,"On God's Gestures : Miracles, Laws of Nature, and Special Divine Action","After presenting a survey of the literature, I present two solutions of my own to help the theist. I offer an original account of what is meant by a 'miracle' and an original account of what is meant by a 'law of nature'. However, given the magnitude of Hume's definition of 'miracle', I propose all miracles be defined as Humean, which suggests the solution I adopt is accepting my account of what is meant by a 'law of nature'. This paper largely focuses on miraculous events and laws of nature in lieu of the famous remarks made by David Hume in his ""Of Miracles."" After doing minor expositional work in Hume's essay, I argue that Hume believed a miracle was an event that falsified a law of nature. If so, this presents the theist with a challenge because the theist cannot maintain that there are miracles, that miracles falsify laws, and that laws of nature are true. So, the theist must either modify the definition of 'miracle', the definition of 'law of nature', or become a deist. Finally, I consider other events that are beyond the norm, but do not falsify any laws of nature---e.g., a cloud that forms the words ""Made by God"" though each water molecule's spatiotemporal location can be accounted for by some law of nature. This event would not satisfy the Humean definition of a miracle, but it is still an event some may attribute to God. So, I outline an original account of a new category of events---what I call Special Divine Actions---which are all the actions that are not apart of God's creation or sustaining of the physical universe. Such Special Divine Actions likely include all the (Humean) miraculous events, but also events that are non-miraculous.",,,
140,A grammar of space in KwakŒÇwala,"This dissertation documents and analyzes the rich linguistic resources available in the grammar of KwakŒÇ wala (Wakashan, iso kwk) grammar for describing location, motion and direction. The research contributes to current theories of polysynthetic morphological complexity with insight from a language with an especially complex approach to spatial relations, while illuminating the role of language in forming cultural knowledge about the physical environment.",,,
141,Modulation-Doped SrTiO3/SrTi1-xZrxO3 Heterostructures,"Two-dimensional electron gases (2DEGs) in SrTiO3 have attracted considerable attention for exhibiting a variety of interesting physical phenomena, such as superconductivity and magnetism. So far, most of the literature has focused on interfaces between nonpolar SrTiO3 and polar perovskite oxides (e.g. LaAlO3 or rare-earth titanates), where high carrier density 2DEGs (äš_3 x 1014 cm-2) are generated by polar discontinuity. Modulation doping is an alternative approach to generating a 2DEG that has been explored extensively in III-V semiconductors but has not heretofore been explored in complex oxides. This approach involves interfacing an undoped semiconductor with a doped semiconductor whose conduction band edge lies at a higher energy, which results in electrons diffusing into the undoped semiconductor transport channel, where scattering from ionized dopants is minimized. Realizing a high-mobility modulation-doped structure with a SrTiO3 transport channel therefore requires both the optimization of the transport channel by minimizing native defects as well as the development of a perovskite oxide which has a suitable band offset with SrTiO3 and can be electron-doped. The growth of high electron mobility SrTiO3 as a suitable transport channel material was previously demonstrated using the hybrid molecular beam epitaxy (MBE) approach, where Sr is delivered via a solid source and Ti is delivered using a metal-organic precursor, titanium (IV) tetra-isopropoxide (TTIP). Expanding on this, in-situ reflection high-energy electron diffraction (RHEED) is used to track the surface and resulting film cation stoichiometry of homoepitaxial SrTiO3 (001) thin films grown by hybrid MBE. It is shown that films with lattice parameters identical to bulk single-crystal substrates within the detection limit of high-resolution X-ray diffraction (XRD) measurements exhibit an evolution in surface reconstruction with increasing TTIP beam-equivalent pressure. The change in the observed surface reconstruction from (1x1) to (2x1) to c(4x4) is correlated with a change from mixed SrO/TiO2 to pure TiO2 surface termination. It is argued that optimal cation stoichiometry is achieved for growth conditions within the XRD-defined growth window that result in a c(4x4) surface lattice. The development of a doped perovskite oxide semiconductor with a suitable conduction band offset is then discussed as the next necessary step towards realizing modulation-doped heterostructures. The SrTixZr1-x O3 solid solution is investigated for this purpose, with a focus on optimizing cation stoichiometry to allow for controlled doping. In particular, the hybrid MBE growth of SrTixZr1-xO3 thin films is explored using a metal-organic precursor for Zr, zirconium tert-butoxide (ZTB). The successful generation of 2DEGs by modulation doping of SrTiO3 is then demonstrated in SrTiO3/La:SrTi0.95Zr0.05O 3 heterostructures, and the electronic structure is studied by Shubnikov-de Haas analysis using multiple-subband models.",,,
142,"Ableist microaggressions scale: Development, validation, and relationship with social support","Participants in Study 1 or 2 who indicated that they identified as a sexual minority (e.g., bisexual, gay, lesbian, pansexual, queer, questioning, same-sex/gender attracted) were provided the option to participate in Study 3. Study 3 (n = 192) used the AMS to explore the impact of microaggressions on social support for sexual minorities with disabilities. Results indicated no relationship between reported microaggressions from specific communities and perceived social support within those communities. Additional findings, implications, and limitations are discussed within the context of the research literature. Research has demonstrated that overt and covert experiences of prejudice and discrimination have been associated with increased stress and distress among people with disabilities (Emerson, 2010; Mazur, 2008), a population with higher than expected rates of mental health concerns. Microaggressions are brief, commonplace verbal, behavioral, or environmental indignities that intentionally or unintentionally communicate negative slights or insults toward particular social groups (Pierce, Carew, Pierce-Gonzalez, & Willis, 1978), and contribute to minority stress. Keller and Galgay (2010) outlined a useful taxonomy of microaggressions against people with disabilities, but no scale yet exists to measure experiences of microaggressions among people with disabilities. Three studies were conducted to develop, validate, and use a scale measuring microaggressions experienced by people with physical disabilities, the Ableist Microaggressions Scale (AMS). The AMS-initial version (AMSi) was developed through a literature review, feedback from three experts, two cognitive interviews, and a small pilot study. The final version of the AMSi included 32 items related to lifetime experiences with ableist microaggressions on a six-point Likert-type scale, ranging from 0 (Never) to 5 (Very frequently). Participants with physical disabilities (n = 1,392) were recruited through Amazon Mechanical Turk to participate in an online study assessing demographics, microaggressions, perceived stress, depression, socially desirable responding, creativity, and social support. Using exploratory factor analysis in Study 1 (n = 559), a 20-item, four-factor model emerged, including Helplessness, Minimization, Denial of Personhood, and Otherization. In Study 2 (n = 833), confirmatory factor analysis confirmed the factor structure determined in Study 1, and demonstrated adequate validity and reliability for the AMS.",,,
143,Laica o Libre : The 1958 university reforms and the fight over the identity of the Argentine nation,"My dissertation studies the conflict that preceded the creation of the first professional degree-conferring private universities in Argentina. This conflict, commonly referred to as the laica o libre conflict, took place between 1955 and 1958 and pitted supporters of a national university system monopolized by traditional ""laic"" or state-run universities against those who promoted a ""free"" educational system that allowed private Catholic universities to confer professional diplomas. I contend that the mass demonstrations, violent street confrontations, and clandestine political negotiations that characterized the laica o libre conflict permanently resolved one of the most divisive issues Argentines had faced since the mid-nineteenth century, the role of the Catholic Church in the nation's educational system. Using archival primary source material, periodicals, oral history interviews, and published accounts written by participants in the conflict, I explore four phases: the formation of a united front, the rupture of that front, a rethinking of the national project, and the final confrontation that concluded with the authorization of private universities. I employ two major methodological strategies: (1) I use individuals, including Jose Luis Romero, Atilio Dell'Oro Maini, and the brothers Arturo and Risieri Frondizi as avatars to explain the broader movements that selected them as their representatives; and (2) I look at the language, ideology and confrontational tactics used by political actors as they struggle to define the mission of Argentine universities. This methodology allows me to explain why the Argentine Catholic Church, which had failed to obtain its goal during the government of the military junta (1955--1958), was able to do so during the government of the military's constitutionally elected successor, Arturo Frondizi (1958--1962).",,,
144,Organic Semiconducting Molecules in Green Solvents,"Conjugated oligoelectrolytes (COEs) contain a conjugated backbone and pendant groups with ionic functionalities. This unique structure combines the properties of semiconducting and water solubility. COEs have similar optical and electronic properties as compare to conjugated polyelectrolytes (CPEs), which have been widely studied for their unique combination of semiconductivity and water solubility, COE are relatively easier to be synthesized and purified. Certain COEs, such as DSBN+ and DSSN+, have been shown to spontaneously insert into liposomes and within the membranes of yeast, and to incorporate into the membranes of Escherichia coli leads to improvement of the current generation in MFCs. In order to study whether the structure variation would affect the biocompatibility of COEs and thus affect the performance of related devices, several new COEs in series with various conjugation length, molecular length, substitution groups with different electron withdrawing/donating group have been designed and synthesized. Organic photovoltaics (OPV) have garnered a large amount of attention due to their potential for making light-weighted, flexible and low-cost devices in large scale application However, despite the power conversion efficiencies (PCEs) of OSC have steadily increased through improvements in materials design, mechanistic insight and device architectures, less viii attention has been put on the sustainability of future application. The vast majority of high performing devices with bulk heterojunction (BHJ) structure are deposited out of chlorinated or aromatic solvents, such as chloroform and chlorobenzene, which require harsh preparation, costly clean up procedure. These solvents are quite toxic to environment and human being. Thus, to develop OSC system be processed out of alternative green solvents is of importance to the future application, especially in mass manufacturing. 2-MeTHF is used to process organic solar cell in the work. 2-MeTHF fits within the class of solvents sought from renewable resources and the concept of capitalizing on waste to generate useful chemicals. The power conversion efficiency of the solar cell processed out of 2-MeTHF is over 5%, which is quite decent and comparable to devices that processed out of chloroform. These findings open new opportunities for considering mass production of organic solar cells, and other optoelectronic devices. It also highlights that substantial molecular design may not be fundamentally necessary for opening environmentally benign processing.",,,
145,Blood-Cell Inspired Polymeric Drug Delivery Systems,"Polymeric carriers are a promising drug delivery system that are poised to treat numerous diseases, provided their abilities to control drug release and target specific parts of the body are successfully translated. The main issues preventing successful translation of polymeric carriers into the clinic includes poor vascular circulation, limited targeting and the inability to negotiate many biological barriers. Furthermore, multifunctional carriers capable of combining these functions have yet to be demonstrated. However, it is theoretically possible to design such multifunctional carriers as circulatory cells are capable of performing these same functions. During my Ph.D, I have developed three distinct blood-cell inspired drug delivery systems that improve the in vivo delivery abilities of polymeric carriers by utilizing and mimicking many of the abilities of the main individual cellular components in blood, namely: (i) erythrocytes, (ii) leukocytes and (iii) thrombocytes. The first two examples utilize a strategy known as ""cellular hitchhiking"", which involves the attachment of polymeric particles to the surface of circulatory cells so as to transfer innate circulatory and targeting abilities from cell to particle. The second strategy involves the design and application of synthetic platelets, dubbed platelet like nanoparticles (PLNs), which incorporate the essential biophysical (shape and flexibility) and biochemical (surface biology) parameters of natural platelets into a polymeric nanoparticle.",,,
