OBJECTID,ID,Xindex,Yindex,Qerror,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,identifier,identifi_1,title,year,author,degree_gra,degree_sup,language,x,y
14,25,41,13,0.266777,0.000172,0.000318,0.000196,0.000225,0.000133,0.000143,0.000231,0.011914,0.000168,0.00038,0.000145,0.000145,0.000108,0.000409,0.000328,0.009748,0.00013,0.000483,9E-05,0.000666,0.000198,0.000198,0.000181,9E-05,0.000117,0.09693,0.000429,0.000139,0.00023,3.2E-05,0.000576,0.069419,0.019256,0.000107,0.019098,0.000135,0.000198,0.045265,0.000117,0.000206,0.000123,9.1E-05,0.000255,0.00017,0.000104,0.000162,0.000154,0.000194,0.019722,0.000357,0.000106,6.5E-05,8.3E-05,0.000112,0.000963,0.00013,0.000109,0.000182,0.00015,0.000284,0.000279,0.000591,0.694079,0.000234,0.000195,0.000227,0.0001,0.00017,0.000168,0.001165,0.000222,f3hd7vfd,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3hd7vfd,An Analog Phase Interpolation Based Fractional-N PLL,2016,"Bluestone, Aaron James","University of California, Santa Barbara. Electrical and Computer Engineering",Luke Theogarajan,English,0.000373151185877636,9.88865464819039E-05
15,29,0,25,0.239812,0.000142,0.000263,0.000162,0.000186,0.00011,0.000119,0.000191,0.151358,0.000139,0.000314,0.00012,0.00012,9E-05,0.196872,0.000271,0.000201,0.000107,0.251962,7.5E-05,0.008412,0.000164,0.000164,0.00015,7.5E-05,9.7E-05,0.001553,0.000355,0.000115,0.00019,2.7E-05,0.000477,0.010245,0.000203,8.8E-05,7.2E-05,0.000112,0.000164,0.131772,9.6E-05,0.00017,0.000102,7.6E-05,0.000211,0.000141,8.6E-05,0.000134,0.000128,0.228139,0.000588,0.000295,8.8E-05,5.4E-05,6.8E-05,9.2E-05,0.000796,0.000107,9E-05,0.000151,0.000124,0.000235,0.00023,0.000489,0.000162,0.000194,0.008023,0.000188,8.3E-05,0.000141,0.000139,0.000964,0.000184,f3r49qkq,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3r49qkq,"Understanding Women's Possible Selves and the Influences on these Selves at a Private, 4-year, Religiously-Affiliated College",2016,"D'Amour, Angela Crowell","University of California, Santa Barbara. Education","Jenny Cook-Gumperz, Sharon Conley",English,6.55770157808829E-06,0.000196038446136808
16,30,35,34,0.130293,6.1E-05,0.000113,6.9E-05,7.9E-05,0.003412,5.1E-05,8.2E-05,0.07824,6E-05,0.000134,5.1E-05,5.1E-05,3.8E-05,0.000145,0.000116,8.6E-05,0.353337,0.000171,3.2E-05,0.000236,7E-05,7E-05,0.010158,3.2E-05,4.1E-05,0.000665,0.000152,4.9E-05,8.1E-05,1.1E-05,0.000204,0.361041,8.7E-05,3.8E-05,3.1E-05,4.8E-05,7E-05,0.083317,4.1E-05,7.3E-05,4.3E-05,3.2E-05,0.00682,6E-05,3.7E-05,5.7E-05,5.5E-05,6.9E-05,0.037263,0.000126,3.8E-05,2.3E-05,2.9E-05,0.026957,0.000341,4.6E-05,3.8E-05,6.5E-05,5.3E-05,0.000101,9.9E-05,0.006939,6.9E-05,8.3E-05,6.9E-05,8E-05,3.5E-05,0.026978,5.9E-05,0.000412,7.9E-05,f3gq6xkf,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3gq6xkf,"The Character, Stability and Consequences of Mn-Ni-Si Precipitates in Irradiated Reactor Pressure Vessel Steels",2016,"Wells, Peter Benjamin","University of California, Santa Barbara. Materials",George R. Odette,English,0.000316773816938502,0.000265020975126602
17,32,36,12,0.25913,0.00069,0.001278,0.000785,0.000901,0.000535,0.000576,0.000928,0.009671,0.000676,0.001525,0.000584,0.000581,0.000435,0.001643,0.001318,0.000974,0.000521,0.00194,0.000362,0.002673,0.000794,0.000796,0.000726,0.000362,0.000469,0.007538,0.001722,0.000556,0.000924,0.00013,0.002314,0.011572,0.000984,0.000429,0.57276,0.000543,0.000794,0.181725,0.000468,0.000827,0.000493,0.000367,0.001023,0.000683,0.000419,0.000652,0.000619,0.000779,0.002855,0.001432,0.000427,0.000261,0.000332,0.000448,0.003864,0.000521,0.000436,0.000732,0.000603,0.077463,0.001118,0.040535,0.000784,0.000941,0.000785,0.000912,0.000403,0.000683,0.000673,0.004678,0.039052,f3zp45x2,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3zp45x2,"Towards Joint Optimality of Spatial, Temporal Prediction and Transform Coding of Video Signals",2016,"Chen, Yue","University of California, Santa Barbara. Electrical and Computer Engineering",Kenneth Rose,English,0.000321659753784945,9.2733086768521E-05
18,36,39,36,0.142667,7.2E-05,0.008095,8.2E-05,9.4E-05,5.6E-05,6E-05,0.004078,0.028875,7.1E-05,0.155411,6.1E-05,0.103562,4.5E-05,0.000171,0.000137,0.000102,5.4E-05,0.000202,3.8E-05,0.028145,8.3E-05,8.3E-05,7.6E-05,3.8E-05,4.9E-05,0.156038,0.00018,5.8E-05,9.6E-05,1.4E-05,0.000241,0.156459,0.000103,4.5E-05,3.7E-05,5.7E-05,8.3E-05,0.138381,4.9E-05,8.6E-05,5.1E-05,3.8E-05,0.000107,0.211054,4.4E-05,6.8E-05,6.5E-05,8.1E-05,0.000298,0.000149,4.5E-05,2.7E-05,3.5E-05,4.7E-05,0.004384,5.4E-05,4.6E-05,7.6E-05,6.3E-05,0.000119,0.000117,0.000248,8.2E-05,9.8E-05,8.2E-05,9.5E-05,4.2E-05,7.1E-05,7E-05,0.000488,9.3E-05,f3xp74r7,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3xp74r7,MOCVD Growth and Electrical Characterization of AlInGaN Heterojunctions,2016,"Laurent, Matthew A.","University of California, Santa Barbara. Electrical and Computer Engineering",Umesh K. Mishra,English,0.000350030347083349,0.000280981342781425
19,39,34,24,0.155955,6.7E-05,0.000124,7.6E-05,8.7E-05,0.022257,5.6E-05,9E-05,0.00834,6.6E-05,0.000148,5.7E-05,5.6E-05,4.2E-05,0.000159,0.000128,9.4E-05,5.1E-05,0.000188,3.5E-05,0.000259,7.7E-05,7.7E-05,7E-05,3.5E-05,4.5E-05,0.096954,0.018671,5.4E-05,9E-05,1.3E-05,0.000224,0.027028,9.5E-05,4.2E-05,3.4E-05,5.3E-05,7.7E-05,0.20637,4.5E-05,8E-05,4.8E-05,3.6E-05,9.9E-05,6.6E-05,4.1E-05,6.3E-05,6E-05,7.6E-05,0.351862,0.000139,4.1E-05,0.096249,3.2E-05,4.3E-05,0.000375,5.1E-05,4.2E-05,7.1E-05,5.8E-05,0.003812,0.000108,0.063145,7.6E-05,9.1E-05,7.6E-05,8.8E-05,0.018544,0.081486,6.5E-05,0.000454,8.6E-05,f39023k6,https://www.alexandria.ucsb.edu/lib/ark:/48907/f39023k6,Computational studies of barrier-crossing in polymer field theory,2016,"Carilli, Michael Francis","University of California, Santa Barbara. Physics","Glenn H. Fredrickson, Philip A. Pincus",English,0.000308098786268513,0.000186430964177283
20,41,3,24,0.18105,7E-05,0.00013,8E-05,9.2E-05,5.5E-05,5.9E-05,9.5E-05,0.000985,6.9E-05,0.000155,0.116698,5.9E-05,0.023372,0.081814,0.000134,9.9E-05,5.3E-05,0.268466,3.7E-05,0.000272,8.1E-05,8.1E-05,7.4E-05,3.7E-05,4.8E-05,0.008544,0.000175,0.0506,9.4E-05,1.3E-05,0.000236,0.001179,0.0001,4.4E-05,0.007812,5.5E-05,8.1E-05,0.23624,4.8E-05,8.4E-05,5E-05,3.7E-05,0.000104,7E-05,4.3E-05,0.007842,6.3E-05,7.9E-05,0.000291,0.000146,4.4E-05,2.7E-05,3.4E-05,4.6E-05,0.000394,5.3E-05,4.4E-05,7.5E-05,6.1E-05,0.000116,0.000114,0.000242,8E-05,9.6E-05,8E-05,9.3E-05,4.1E-05,7E-05,6.9E-05,0.190986,9.1E-05,f3m908g2,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3m908g2,A Reflexive Approach in Coming to Know : Uncovering the Logic-of-Inquiry in Ethnographic Research,2016,"Chian, Monaliza Maximo","University of California, Santa Barbara. Education",Judith L. Green,English,2.47342130479927E-05,0.000186435455743882
21,45,5,8,0.202306,3.6E-05,0.371914,4.1E-05,4.7E-05,2.8E-05,3E-05,4.9E-05,0.000507,3.5E-05,8E-05,3.1E-05,3E-05,2.3E-05,8.6E-05,0.010065,0.004049,2.7E-05,0.000102,1.9E-05,0.022131,4.2E-05,4.2E-05,3.8E-05,1.9E-05,2.5E-05,0.002394,9E-05,2.9E-05,4.8E-05,7E-06,0.000121,0.0146,5.2E-05,2.2E-05,1.8E-05,2.8E-05,4.2E-05,0.287406,2.5E-05,4.3E-05,2.6E-05,1.9E-05,5.4E-05,3.6E-05,2.2E-05,0.004033,3.2E-05,0.018033,0.00015,7.5E-05,2.2E-05,1.4E-05,1.7E-05,2.3E-05,0.146143,2.7E-05,2.3E-05,3.8E-05,3.2E-05,0.056037,5.9E-05,0.000124,4.1E-05,4.9E-05,4.1E-05,4.8E-05,2.1E-05,3.6E-05,0.002034,0.058221,4.7E-05,f3st7pnn,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3st7pnn,Merchants and marauders : Genoese maritime predation in the twelfth-century Mediterranean,2016,"Malain, Nikki Marie","University of California, Santa Barbara. History",Carol Lansing,English,4.54260072906757E-05,6.28730867410366E-05
22,46,12,30,0.277691,6.2E-05,0.000115,7.1E-05,8.1E-05,4.8E-05,5.2E-05,8.4E-05,0.283432,0.041411,0.000138,5.3E-05,5.2E-05,3.9E-05,0.003594,0.000119,8.8E-05,4.7E-05,0.02085,3.3E-05,0.000241,7.2E-05,7.2E-05,6.6E-05,3.3E-05,4.2E-05,0.000681,0.003601,5E-05,0.423922,1.2E-05,0.000209,0.001045,8.9E-05,3.9E-05,3.2E-05,4.9E-05,7.2E-05,0.09911,4.2E-05,7.5E-05,4.5E-05,3.3E-05,9.2E-05,6.2E-05,3.8E-05,5.9E-05,5.6E-05,7E-05,0.000258,0.000129,0.010376,2.4E-05,3E-05,4E-05,0.02447,4.7E-05,3.9E-05,6.6E-05,0.082755,0.000103,0.000101,0.000214,7.1E-05,8.5E-05,7.1E-05,8.2E-05,3.6E-05,6.2E-05,6.1E-05,0.000422,8E-05,f3dn44vf,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3dn44vf,The Enduring Impact of a Male's Early Environment on his Neuroendocrine and Behavioral Response to Becoming a First-time Father,2016,"Corpuz, Randy","University of California, Santa Barbara. Psychology",Daphne Bugental,English,0.000105819743852472,0.000234508798176074
23,47,7,25,0.147039,0.000132,0.000244,0.00015,0.000172,0.000102,0.00011,0.000177,0.096596,0.000129,0.000291,0.000111,0.000111,8.3E-05,0.000314,0.029405,0.240702,9.9E-05,0.007659,6.9E-05,0.000511,0.000152,0.000152,0.000139,6.9E-05,9E-05,0.118054,0.058636,0.000106,0.000176,2.5E-05,0.000442,0.04594,0.000188,8.2E-05,6.7E-05,0.000104,0.000152,0.238782,8.9E-05,0.000158,9.4E-05,7E-05,0.000195,0.00013,8E-05,0.000125,0.000118,0.000149,0.000545,0.109599,8.2E-05,5E-05,6.3E-05,8.6E-05,0.000738,0.0001,8.3E-05,0.00014,0.000115,0.000218,0.000214,0.000453,0.00015,0.00018,0.00015,0.000174,7.7E-05,0.00013,0.000129,0.044624,0.00017,f3cn73q2,https://www.alexandria.ucsb.edu/lib/ark:/48907/f3cn73q2,Information Reliability on the Social Web Models and Applications in Intelligent User Interfaces,2016,"Kang, Byungkyu","University of California, Santa Barbara. Computer Science",Tobias Hollerer,English,6.84435398187222E-05,0.000195468914247829
